peak_index,original_peak,drawn_peak,factor
14663,-1.0,0.0,-0.0
14737,1.0,0.0,0.0
14810,-1.0,0.0,-0.0
14884,1.0,0.0,0.0
14957,-1.0,0.0,-0.0
15031,1.0,0.0,0.0
15104,-1.0,0.0,-0.0
15178,1.0,0.0,0.0
15251,-1.0,0.0,-0.0
15325,1.0,0.0,0.0
15398,-1.0,0.0,-0.0
15472,1.0,0.0,0.0
15545,-1.0,0.0,-0.0
15619,1.0,0.0,0.0
15692,-1.0,0.0,-0.0
15766,1.0,0.0,0.0
15839,-1.0,0.0,-0.0
15913,1.0,0.0,0.0
15986,-1.0,0.0,-0.0
16060,1.0,0.0,0.0
16133,-1.0,0.0,-0.0
16207,1.0,0.0,0.0
16280,-1.0,0.0,-0.0
16354,1.0,0.0,0.0
16427,-1.0,0.0,-0.0
16501,1.0,0.0,0.0
16574,-1.0,0.0,-0.0
16648,1.0,0.0,0.0
16721,-1.0,0.0,-0.0
16795,1.0,0.0,0.0
16868,-1.0,0.0,-0.0
16942,1.0,0.0,0.0
17015,-1.0,0.0,-0.0
17089,1.0,0.0,0.0
17162,-1.0,0.0,-0.0
17236,1.0,0.0,0.0
17309,-1.0,0.0,-0.0
17383,1.0,0.0,0.0
17456,-1.0,0.0,-0.0
17530,1.0,0.0,0.0
17603,-1.0,0.0,-0.0
17677,1.0,0.5538799829763095,0.5538799829763095
17750,-1.0,-0.5255718830480225,0.5255718830480225
17824,1.0,0.5538799829763095,0.5538799829763095
17897,-1.0,-0.5255718830480225,0.5255718830480225
17971,1.0,0.5538799829763095,0.5538799829763095
18044,-1.0,-0.5212645442013536,0.5212645442013536
18118,1.0,0.5538799829763095,0.5538799829763095
18191,-1.0,-0.5168674691287125,0.5168674691287125
18265,1.0,0.5538799829763095,0.5538799829763095
18338,-1.0,-0.5124703940560713,0.5124703940560713
18412,1.0,0.5538799829763095,0.5538799829763095
18485,-1.0,-0.5080733189834302,0.5080733189834302
18559,1.0,0.5538799829763095,0.5538799829763095
18632,-1.0,-0.503676243910789,0.503676243910789
18706,1.0,0.5538799829763095,0.5538799829763095
18779,-1.0,-0.49927916883814794,0.49927916883814794
18853,1.0,0.5538799829763095,0.5538799829763095
18926,-1.0,-0.4948820937655068,0.4948820937655068
19000,1.0,0.5538799829763095,0.5538799829763095
19073,-1.0,-0.49048501869286565,0.49048501869286565
19147,1.0,0.5538799829763095,0.5538799829763095
19220,-1.0,-0.4860879436202245,0.4860879436202245
19294,1.0,0.5538799829763095,0.5538799829763095
19367,-1.0,-0.48169086854758336,0.48169086854758336
19441,1.0,0.5538799829763095,0.5538799829763095
19514,-1.0,-0.4772937934749422,0.4772937934749422
19588,1.0,0.5538799829763095,0.5538799829763095
19661,-1.0,-0.4728967184023011,0.4728967184023011
19735,1.0,0.5538799829763095,0.5538799829763095
19808,-1.0,-0.46849964332965993,0.46849964332965993
19882,1.0,0.5538799829763095,0.5538799829763095
19955,-1.0,-0.4641025682570188,0.4641025682570188
20029,1.0,0.5538799829763095,0.5538799829763095
20102,-1.0,-0.4597054931843777,0.4597054931843777
20176,1.0,0.5538799829763095,0.5538799829763095
20249,-1.0,-0.45530841811173656,0.45530841811173656
20323,1.0,0.5538799829763095,0.5538799829763095
20396,-1.0,-0.45095588654354707,0.45095588654354707
20470,1.0,0.5538799829763095,0.5538799829763095
20543,-1.0,-0.446659548319435,0.446659548319435
20617,1.0,0.5538799829763095,0.5538799829763095
20690,-1.0,-0.442363210095323,0.442363210095323
20764,1.0,0.5538799829763095,0.5538799829763095
20837,-1.0,-0.43806687187121096,0.43806687187121096
20911,1.0,0.5538799829763095,0.5538799829763095
20984,-1.0,-0.4337705336470989,0.4337705336470989
21058,1.0,0.5538799829763095,0.5538799829763095
21131,-1.0,-0.42947419542298687,0.42947419542298687
21205,1.0,0.5538799829763095,0.5538799829763095
21278,-1.0,-0.42517785719887485,0.42517785719887485
21352,1.0,0.5538799829763095,0.5538799829763095
21425,-1.0,-0.4208815189747628,0.4208815189747628
21499,1.0,0.5538799829763095,0.5538799829763095
21572,-1.0,-0.41658518075065076,0.41658518075065076
21646,1.0,0.5538799829763095,0.5538799829763095
21719,-1.0,-0.41229222297461277,0.41229222297461277
21793,1.0,0.5538799829763095,0.5538799829763095
21866,-1.0,-0.40799933562457635,0.40799933562457635
21940,1.0,0.5538799829763095,0.5538799829763095
22013,-1.0,-0.4037064482745399,0.4037064482745399
22087,1.0,0.5538799829763095,0.5538799829763095
22160,-1.0,-0.3994135609245035,0.3994135609245035
22234,1.0,0.5538799829763095,0.5538799829763095
22307,-1.0,-0.395120673574467,0.395120673574467
22381,1.0,0.5538799829763095,0.5538799829763095
22454,-1.0,-0.3908277862244306,0.3908277862244306
22528,1.0,0.5538799829763095,0.5538799829763095
22601,-1.0,-0.38653489887439413,0.38653489887439413
22675,1.0,0.5538799829763095,0.5538799829763095
22748,-1.0,-0.3822420115243577,0.3822420115243577
22822,1.0,0.5538799829763095,0.5538799829763095
22895,-1.0,-0.37966030402983025,0.37966030402983025
22969,1.0,0.5538799829763095,0.5538799829763095
23042,-1.0,-0.3787213291965915,0.3787213291965915
23116,1.0,0.5538799829763095,0.5538799829763095
23189,-1.0,-0.3777823543633527,0.3777823543633527
23263,1.0,0.5538799829763095,0.5538799829763095
23336,-1.0,-0.37684337953011393,0.37684337953011393
23410,1.0,0.5538799829763095,0.5538799829763095
23483,-1.0,-0.3759044046968752,0.3759044046968752
23557,1.0,0.5538799829763095,0.5538799829763095
23630,-1.0,-0.3749654298636364,0.3749654298636364
23704,1.0,0.5538799829763095,0.5538799829763095
23777,-1.0,-0.3740264550303976,0.3740264550303976
23851,1.0,0.5538799829763095,0.5538799829763095
23924,-1.0,-0.37308748019715887,0.37308748019715887
23998,1.0,0.5538799829763095,0.5538799829763095
24071,-1.0,-0.3721485053639201,0.3721485053639201
24145,1.0,0.5538799829763095,0.5538799829763095
24218,-1.0,-0.3712095305306813,0.3712095305306813
24292,1.0,0.5538799829763095,0.5538799829763095
24365,-1.0,-0.3710498409331917,0.3710498409331917
24439,1.0,0.5538799829763095,0.5538799829763095
24512,-1.0,-0.3710498409331917,0.3710498409331917
24586,1.0,0.5538799829763095,0.5538799829763095
24659,-1.0,-0.3710498409331917,0.3710498409331917
24733,1.0,0.5538799829763095,0.5538799829763095
24806,-1.0,-0.3710498409331917,0.3710498409331917
24880,1.0,0.5538799829763095,0.5538799829763095
24953,-1.0,-0.3710498409331917,0.3710498409331917
25027,1.0,0.5538799829763095,0.5538799829763095
25100,-1.0,-0.3710498409331917,0.3710498409331917
25174,1.0,0.5538799829763095,0.5538799829763095
25247,-1.0,-0.3710498409331917,0.3710498409331917
25321,1.0,0.5538799829763095,0.5538799829763095
25394,-1.0,-0.3710498409331917,0.3710498409331917
25468,1.0,0.5538799829763095,0.5538799829763095
25541,-1.0,-0.37223257520309966,0.37223257520309966
25615,1.0,0.5538799829763095,0.5538799829763095
25688,-1.0,-0.37545224071562683,0.37545224071562683
25762,1.0,0.5538799829763095,0.5538799829763095
25835,-1.0,-0.378671906228154,0.378671906228154
25909,1.0,0.5538799829763095,0.5538799829763095
25982,-1.0,-0.3825918603471848,0.3825918603471848
26056,1.0,0.5538799829763095,0.5538799829763095
26129,-1.0,-0.3870983061741623,0.3870983061741623
26203,1.0,0.5538799829763095,0.5538799829763095
26276,-1.0,-0.39160475200113987,0.39160475200113987
26350,1.0,0.5538799829763095,0.5538799829763095
26423,-1.0,-0.39611119782811743,0.39611119782811743
26497,1.0,0.5538799829763095,0.5538799829763095
26570,-1.0,-0.3992772479812222,0.3992772479812222
26644,1.0,0.5538799829763095,0.5538799829763095
26717,-1.0,-0.4011565182874091,0.4011565182874091
26791,1.0,0.5538799829763095,0.5538799829763095
26864,-1.0,-0.40303578859359607,0.40303578859359607
26938,1.0,0.5538799829763095,0.5538799829763095
27011,-1.0,-0.40491505889978296,0.40491505889978296
27085,1.0,0.5538799829763095,0.5538799829763095
27158,-1.0,-0.4067943292059699,0.4067943292059699
27232,1.0,0.5538799829763095,0.5538799829763095
27305,-1.0,-0.40806769257834835,0.40806769257834835
27379,1.0,0.5538799829763095,0.5538799829763095
27452,-1.0,-0.4090472828919105,0.4090472828919105
27526,1.0,0.5538799829763095,0.5538799829763095
27599,-1.0,-0.41002687320547265,0.41002687320547265
27673,1.0,0.5538799829763095,0.5538799829763095
27746,-1.0,-0.4110064635190348,0.4110064635190348
27820,1.0,0.5538799829763095,0.5538799829763095
27893,-1.0,-0.41198605383259695,0.41198605383259695
27967,1.0,0.5534239912449596,0.5534239912449596
28040,-1.0,-0.4129656441461591,0.4129656441461591
28114,1.0,0.5517052531806406,0.5517052531806406
28187,-1.0,-0.41394523445972126,0.41394523445972126
28261,1.0,0.5499865151163216,0.5499865151163216
28334,-1.0,-0.4149248247732834,0.4149248247732834
28408,1.0,0.5482677770520027,0.5482677770520027
28481,-1.0,-0.41590441508684556,0.41590441508684556
28555,1.0,0.5465490389876837,0.5465490389876837
28628,-1.0,-0.4173450773072964,0.4173450773072964
28702,1.0,0.5453681373244441,0.5453681373244441
28775,-1.0,-0.4194932464193525,0.4194932464193525
28849,1.0,0.5453681373244441,0.5453681373244441
28922,-1.0,-0.4216414155314085,0.4216414155314085
28996,1.0,0.5453681373244441,0.5453681373244441
29069,-1.0,-0.4237895846434645,0.4237895846434645
29143,1.0,0.5453681373244441,0.5453681373244441
29216,-1.0,-0.4259377537555205,0.4259377537555205
29290,1.0,0.5453681373244441,0.5453681373244441
29363,-1.0,-0.4280859228675765,0.4280859228675765
29437,1.0,0.5453681373244441,0.5453681373244441
29510,-1.0,-0.4302340919796325,0.4302340919796325
29584,1.0,0.5442366846707205,0.5442366846707205
29657,-1.0,-0.43238226109168854,0.43238226109168854
29731,1.0,0.54271078063313,0.54271078063313
29804,-1.0,-0.4345304302037446,0.4345304302037446
29878,1.0,0.5411848765955396,0.5411848765955396
29951,-1.0,-0.43467656415694567,0.43467656415694567
30025,1.0,0.539658972557949,0.539658972557949
30098,-1.0,-0.43467656415694567,0.43467656415694567
30172,1.0,0.5381330685203586,0.5381330685203586
30245,-1.0,-0.43467656415694567,0.43467656415694567
30319,1.0,0.5368562916725788,0.5368562916725788
30392,-1.0,-0.43467656415694567,0.43467656415694567
30466,1.0,0.5368562916725788,0.5368562916725788
30539,-1.0,-0.43467656415694567,0.43467656415694567
30613,1.0,0.5368562916725788,0.5368562916725788
30686,-1.0,-0.43467656415694567,0.43467656415694567
30760,1.0,0.5368562916725788,0.5368562916725788
30833,-1.0,-0.43467656415694567,0.43467656415694567
30907,1.0,0.5368562916725788,0.5368562916725788
30980,-1.0,-0.4340168400682201,0.4340168400682201
31054,1.0,0.5368562916725788,0.5368562916725788
31127,-1.0,-0.43303724975465796,0.43303724975465796
31201,1.0,0.5355000085742044,0.5355000085742044
31274,-1.0,-0.4320576594410958,0.4320576594410958
31348,1.0,0.5332083578217789,0.5332083578217789
31421,-1.0,-0.43107806912753366,0.43107806912753366
31495,1.0,0.5309167070693535,0.5309167070693535
31568,-1.0,-0.4300984788139715,0.4300984788139715
31642,1.0,0.5286250563169279,0.5286250563169279
31715,-1.0,-0.42911888850040936,0.42911888850040936
31789,1.0,0.5283444460207125,0.5283444460207125
31862,-1.0,-0.4281392981868472,0.4281392981868472
31936,1.0,0.5283444460207125,0.5283444460207125
32009,-1.0,-0.42715970787328505,0.42715970787328505
32083,1.0,0.5283444460207125,0.5283444460207125
32156,-1.0,-0.4261801175597229,0.4261801175597229
32230,1.0,0.5283444460207125,0.5283444460207125
32303,-1.0,-0.42558703226783834,0.42558703226783834
32377,1.0,0.5283444460207125,0.5283444460207125
32450,-1.0,-0.42558703226783834,0.42558703226783834
